,Peak CCU,DLC count,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever
369,0,0,0,0,30,3,22,0,0,0
370,0,0,0,0,3,2,100,0,0,0
371,1,0,0,0,0,1,0,0,0,0
372,3,0,0,0,0,0,0,523,137,137
373,0,0,0,0,29,3,8,0,0,0
374,13,0,0,0,409,31,13,430,42,42
375,0,0,0,0,30,7,12,0,0,0
376,36,0,0,0,44,15,6,0,0,0
377,0,0,0,0,49,16,0,0,0,0
378,0,0,0,0,15,42,25,0,387,387
379,0,0,0,0,3,0,0,0,0,0
380,2,3,0,0,319,93,17,320,123,139
381,0,0,0,0,8,2,4,0,0,0
382,0,0,0,0,50,9,20,0,0,0
383,0,0,0,0,48,8,17,0,0,0
384,4,0,0,0,573,209,12,654,208,208
385,1,0,0,0,846,99,16,864,51,64
386,17,0,0,0,2535,248,0,2186,46,32
387,0,0,0,0,11,10,0,0,0,0
388,1,1,59,0,110,69,13,133,32,32
389,0,0,0,0,1,0,0,0,0,0
390,0,0,0,0,0,3,0,0,0,0
391,0,0,0,0,0,0,20,0,0,0
392,0,1,0,0,22,15,33,0,0,0
393,0,0,0,0,427,43,0,306,82,94
394,24,1,0,0,55,19,0,0,0,0
395,1,0,0,0,17,16,14,0,0,0
396,0,0,0,0,0,0,0,0,0,0
397,1,1,0,0,98,8,15,105,0,0
398,0,0,0,0,6,2,36,0,0,0
399,3,0,0,0,108,6,8,0,0,0
400,0,0,0,0,17,2,20,0,0,0
401,1,0,0,0,113,75,0,167,13,19
402,84,18,79,0,7129,401,51,5577,1210,448
403,0,0,0,0,33,1,9,0,0,0
404,0,0,0,0,10,4,23,0,0,0
405,0,0,0,0,4,0,0,0,0,0
406,1,0,0,0,13,13,6,0,0,0
407,0,0,0,0,181,298,0,0,8,8
408,0,2,0,0,0,0,0,0,0,0
409,0,0,0,0,3,1,0,0,0,0
410,0,0,0,0,4,2,1,0,0,0
411,2,1,0,0,559,35,64,514,194,242
412,0,1,0,0,102,19,29,0,137,137
413,0,0,0,0,40,12,0,0,0,0
414,0,0,0,0,117,31,0,120,0,0
415,0,0,0,0,148,29,15,145,0,0
416,2,0,68,0,656,297,44,626,187,223
417,0,0,0,0,0,0,18,0,0,0
418,0,0,0,0,11,5,0,0,0,0
419,0,1,0,0,0,0,36,0,0,0
420,0,0,0,0,184,6,31,184,0,0
421,0,0,0,0,67,5,16,0,0,0
422,0,0,0,0,0,0,3,0,0,0
423,2,1,71,0,1845,231,13,1720,352,378
424,8,0,0,0,52,31,52,0,63,63
425,2,0,0,0,59,70,0,119,0,0
426,5848,1,0,0,19370,5757,148,0,3578,75
427,0,0,0,0,0,0,15,0,0,0
428,0,0,0,0,0,0,13,0,0,0
429,0,0,0,0,6,0,10,0,0,0
430,0,3,0,0,0,0,0,0,0,0
431,0,1,0,0,58,2,20,0,0,0
432,0,0,0,0,24,17,0,0,0,0
433,0,0,0,0,1,0,0,0,0,0
434,0,1,0,0,0,1,0,0,0,0
435,0,0,0,0,4,0,0,0,0,0
436,10,0,0,0,2509,651,32,2699,151,99
437,0,2,0,0,94,57,6,0,16,16
438,0,0,0,0,0,0,12,0,0,0
439,9,0,0,0,474,459,0,702,227,93
440,0,0,0,0,23,4,1,0,0,0
441,3,0,0,0,291,48,7,277,246,251
442,0,0,0,0,2,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0
444,0,0,0,0,7,4,26,0,0,0
445,0,1,0,0,5,8,0,0,0,0
446,0,0,0,0,39,7,30,0,0,0
447,0,0,0,0,32,8,22,0,0,0
448,0,0,0,0,70,51,0,0,0,0
449,0,0,0,0,9,2,0,0,0,0
450,0,0,0,0,38,26,0,0,1,1
451,0,0,0,0,0,0,0,0,0,0
452,0,0,0,0,18,5,44,0,0,0
453,0,0,0,0,1,2,0,0,0,0
454,1,0,0,0,175,24,0,0,23,37
455,0,0,0,0,0,0,0,0,0,0
456,0,0,0,0,1,3,10,0,0,0
457,0,0,0,0,42,4,12,0,0,0
458,4,0,0,0,93,4,0,0,0,0
459,0,0,0,0,1,0,0,0,0,0
460,2,2,0,0,12,0,15,0,0,0
461,0,0,0,0,7,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,11,9,0,0,0,0
464,0,0,0,0,44,3,30,0,0,0
465,0,0,0,0,3,0,0,0,0,0
466,0,0,0,0,7,5,42,0,0,0
467,2,1,0,0,136,8,41,0,652,652
468,0,0,0,0,22,9,8,0,0,0
469,1,0,0,0,44,14,16,0,0,0
470,542,7,74,0,3087,1188,47,3237,426,507
471,1,0,0,0,69,38,12,0,0,0
